sep=;
idno;author-name;author-gender;title;pubyear;genre;subgenre;detective;horror;historical;adventure;narration;availability;decade;topics
acd001;Doyle;male;StudyScarlet;1887;novel;detective;yes;no;no;no;homodiegetic;publicdomain;1880s;
acd003;Doyle;male;SignFour;1890;novel;detective;yes;no;no;no;homodiegetic;publicdomain;1890s;
acd011;Doyle;male;ValleyFear;1915;novel;detective;yes;no;no;no;homodiegetic;publicdomain;1910s;
acd002;Doyle;male;HoundBaskervilles;1902;novel;detective;yes;no;no;no;homodiegetic;publicdomain;1900s;
acd004;Doyle;male;WhiteCompany;1891;novel;historical;no;no;yes;no;heterodiegetic;publicdomain;1890s;
acd005;Doyle;male;Refugees;1893;novel;historical;no;no;yes;no;heterodiegetic;publicdomain;1890s;
acd008;Doyle;male;RafflesHaw;1891;novel;horror;no;yes;no;no;homodiegetic;publicdomain;1890s;
acd009;Doyle;male;Parasite;1894;novella;horror;no;yes;no;no;homodiegetic;publicdomain;1890s;
acd007;Doyle;male;MysteryCloomber;1889;novel;other;no;no;no;no;homodiegetic;publicdomain;1880s;
acd006;Doyle;male;FirmGirdlestone;1890;novel;other;no;no;no;no;heterodiegetic;publicdomain;1890s;
acd010;Doyle;male;LostWorld;1912;novel;adventure;no;no;no;yes;homodiegetic;publicdomain;1910s;
acd012;Doyle;male;PoisonBelt;1913;novella;adventure;no;no;no;yes;homodiegetic;publicdomain;1910s;
lmm001;Montgomery;female;AnneofGreenGables;1908;novel;children;;;;;;publicdomain;1900s;
lmm002;Montgomery;female;AnneofAvonlea;1909;novel;children;;;;;;publicdomain;1900s;
lmm003;Montgomery;female;AnneoftheIsland;1915;novel;children;;;;;;publicdomain;1910s;
ms001;Shelley;female;FrankensteinOrTheModernPrometheus;1818;novel;horror,scifi,gothic;;yes;;;;publicdomain;1810s;
gsp001;Stratton-Porter;female;Freckles;1904;novel;children,romance,nature;;;;;;publicdomain;1900s;
gsp002;Stratton-Porter;female;TheSongOfTheCardinal ;1903;novel;romance,nature;;;;;;publicdomain;1900s;
cd001;Dickens;male;GreatExpectations;1861;novel;bildungsroman;;;;;;publicdomain;1860s;
fsf001;Fitzgerald;male;TheGreatGatsby;1925;novel;tragedy;;;;;;publicdomain;1920s;
wsm001;Maugham;male;OfHumanBondage;1915;novel;bildungsroman;;;;;;publicdomain;1910s;
ehp001;Porter;female;JustDavid;1916;novel;children;;;;;;publicdomain;1910s;
dgp001;Phillips;male;SusanLenoxHerRiseAndFall;1917;novel;;;;;;;publicdomain;1910s;
fn001;Norris;male;ThePit;1903;novel;;;;;;;publicdomain;1900s;
hf001;Fielding;male;Shamela;1741;novella;parody;;;;;;publicdomain;1740s;
hj001;James;male;TheAmbassadors;1903;novel;comedy;;;;;;publicdomain;1900s;
hj002;James;male;TheGoldenBowl;1904;novel;drama;;;;;;publicdomain;1900s;
nh001;Hawthorn;male;TheScarlettLetter;1850;novel;romantic,historical;;;yes;;;publicdomain;1850s;
beo001;Orczy;female;TheScarletPimpernel;1905;novel;fiction,adventure;;;;yes;;publicdomain;1900s;


